WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
fair	5.0	276	286	558	4	1	3	3.11	4
fake	6.5	371	280	524	4	1	3	3.34	14
faker	7.2	414	281	449	5	2	5	3.15	5
false	6.0	353	230	530	5	1	4	2.62	0
falter	9.8	612	225	449	6	2	6	3.06	4
fame	6.7	400	386	508	4	1	3	3.43	13
famous	5.8	314	432	588	6	2	5	2.80	0
fare	7.7	461	353	513	4	1	3	3.46	17
fate	7.9	477	232	503	4	1	3	2.99	14
fatigue	9.9	602	245	475	7	2	5	2.26	0
faucet	10.5	643	356	386	6	2	5	2.64	0
favour	6.5	380	254	569	6	2	5	2.64	1
fearful	7.0	414	317	475	7	2	5	2.46	1
feat	8.9	531	228	424	4	1	3	3.65	12
feline	8.5	519	469	433	6	2	5	2.84	0
ferret	7.5	453	611	423	6	2	5	2.74	0
feudal	11.2	700	123	422	6	2	5	1.93	0
fibre	8.4	511	433	496	5	2	5	2.46	0
fiction	6.1	339	287	508	7	2	5	2.91	2
fierce	6.0	333	399	483	6	1	3	2.63	1
fifth	5.0	269	395	496	5	1	4	2.71	3
fifty	5.3	305	435	557	5	2	5	2.63	1
fill	5.1	263	372	540	4	1	3	3.48	15
film	4.9	269	555	614	4	1	4	2.95	3
filter	7.3	435	341	484	6	2	6	2.91	3
filth	6.6	378	455	473	5	1	4	2.70	2
finger	3.5	178	648	621	6	2	6	3.09	6
firm	7.1	422	320	506	4	1	3	2.94	5
fist	5.1	289	612	483	4	1	4	3.31	6
flame	5.3	282	647	518	5	1	4	2.68	4
flank	9.6	586	275	378	5	1	5	3.08	5
flap	5.6	299	423	489	4	1	4	2.44	10
flee	7.9	473	451	432	4	1	3	2.29	8
fleet	8.1	459	352	401	5	1	4	2.75	2
flick	5.7	322	384	506	5	1	4	2.99	4
flicker	7.4	433	408	450	7	2	6	2.67	1
flight	6.0	337	487	531	6	1	4	2.62	5
flint	8.0	487	430	393	5	1	5	3.05	5
float	5.3	296	414	466	5	1	4	2.67	2
